title,content_id
보은풍림정사,3038919
보은향교,1626733
보타사(증평),316106
보탑사(진천),128057
보현사(청주),316107
복대동사람들,2932742
복천사(제천),316275
복천암(보은),316293
복천암(청주),316291
본초다담,2900897
봉유재,798705
봉은사,2761709
봉학골산림욕장,250456
봉학사(충주),317476
봉황경(능암리섬),1646664
봉황자연휴양림,125423
부소담악(추소정),1940660
북단양리조트,2662470
북벽,1627315
불휘농장,2609165
비내섬(비내길),2746573
비룡담 저수지,3025007
비봉산(제천),2610497
비학봉마을,2379539
사담계곡유원지,1537923
사담관광농원,2789653
사정저수지,2770010
산막와이너리,2608376
산모랭이풀내음,2481741
삼가저수지,129662
삼일공원,2769690
삼탄유원지,1627240
삼태산 경관,2931997
삼형제 저수지,125995
상궁저수지,2758220
상당공원,2769699
상당산성자연휴양림,3071086
상선암,1627287
상춘정,2782476
상현서원,1626760
새밭계곡,2389640
생거진천 자연휴양림,2769739
생거진천치유의숲,3034501
생명누리공원,2993216
생생마을여행사,2820733
서문풍물야시장 & 서문시장삼겹살거리,2614909
서원계곡,127420
서한순 효자문,125919
석문,129684
석보군묘각,1678280
석종사(충주),318240
석천암(괴산),318255
선암계곡(하선암),126654
선유구곡(선유동계곡),125836
설성공원,1116129
성내동 관아골,2650250
성림사(진천),319555
성불산자연휴양림,2379537
세산곤충체험농장,3033760
소금정공원 장미터널,2778932
소노문 단양 오션플레이,127953
소백산 가리점마을(마조리마을),802692
소백산 천문대,2607143
소백산국립공원(북부),125813
소백산국립공원천동지구,2769857
소백산자연휴양림,2761765
소선암자연휴양림,129193
속리산 관광특구,1958113
속리산 산채비빔밥 거리,704503
속리산 숲체험휴양마을,2537494
속리산국립공원(충북),127465
속리산세조길,3075120
속리산연꽃단지,2782919
속리산조각공원,129689
속리산테마파크모노레일,2782912
손병희 유허지,2733521
솔밭공원,2769710
솔밭공원,2912640
솔밭관광농원,127522
솔부엉이 캠핑장,2775015
송계계곡,125834
송계서원,1956236
송대공원,2769715
송천서원,1956238
송호리송림,2789692
수레의산자연휴양림,632059
수룡폭포,1687491
수문동폭포,1683579
수생식물학습원,2664187
수안보온천 관광특구,1958101
수안보온천 족욕길 (수안보온천 족욕체험장),3343355
수암골 벽화마을,1938398
수암골 카페거리,2614910
수암골전망대,2044362
수옥정관광지,1538234
수옥폭포,125837
수운정(단양),125977
수정암(충북),319698
수주팔봉,129465
숙설방,2996005
스페이스 선,2717692
시골살이마을,2848240
신륵사(제천),322813
신선봉,127831
신풍전통한지체험장,792208
신항서원,125910
